Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
China,CHN,,,,,,,,,,,,,,,,,,,,,,,0.301000002,0.234950645,0.155031894,0.087563969,0.148052538,0.083539405,0.104477735,0.054306311,0.05429838,0.101681568,0.145082503,0.141968875,0.151862934,0.047648356,0.193575265,0.477223496,0.033429115,0.04844619,0.062581744,0.090264586,0.160012947,0.278586119,0.339644071,0.145980386,0.156950792,0.192463945,0.198866703,0.18051795,0.224013042,0.219405035,0.200013634,0.185886626,0.285523157,0.299276925,0.239318233,0.232940938,0.174925688,0.128111997,0.128386537
Cote d'Ivoire,CIV,,,,,,,,,,,,,,,,0.311563816,0.305206448,0.253378399,0.280457755,0.308499106,0.316293841,0.366588199,0.382047833,0.395272056,0.364609502,0.344519619,0.390973032,0.425502626,0.415782146,0.363029465,0.411658475,0.395264531,0.443997119,0.521142094,1.328068395,1.373229543,1.210978371,1.163427107,1.130409134,1.111454332,1.110577449,1.035539728,0.968080632,0.923039986,0.959941119,0.955074856,0.936816263,0.907863931,0.821122944,1.297819935,1.500844039,1.562562599,1.370284503,1.23038314,1.094953643,0.734223988,0.713938342,0.59634834,0.572381204,0.56080225,0.52773259
Cameroon,CMR,,,,,,,,,,,,,,,,,,,,0.058772124,0.440363173,0.434201824,0.28768704,0.407563012,0.202816908,0.143010961,0.200186621,0.097911738,0.100700016,0.295750204,0.186709622,0.061972333,0.207179299,0.140053702,0.137487576,0.112162976,0.130026451,0.135055202,0.208771702,0.143878534,0.218616437,0.162147719,0.253192627,0.517192634,0.592073915,0.429046959,0.671331154,0.748209051,0.61346435,0.708626887,0.439335082,0.747366579,0.722981728,0.754476451,0.809778979,0.781498579,0.823900491,0.904905291,0.862028082,0.911496439,0.853394227
"Congo, Dem. Rep.",COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074386823,0.088569654,0.052577895,0.07428551,0.104566761,0.072800722,4.363432444,2.920379061,3.064155587,2.106462278,3.07657919,1.598178192,2.83091979,3.892064779,4.119617437,2.22396328
"Congo, Rep.",COG,,,,,,,,,,,,,,,,,,,0.284417541,0.257647052,0.186182024,0.133121407,0.098660381,0.076747265,0.049576699,0.026165809,0.00234224,0.000434431,0.200303492,0.184310791,0.156383181,0.159614389,0.147337899,0.159974744,0.241144637,0.200340834,0.307763312,0.196946236,0.099382667,0.495618549,0.320728169,0.433346375,0.03877367,0.353571183,0.321110895,0.171122053,0.163616481,0.189999384,0.186418492,0.350594522,0.252023161,0.397474606,0.38628492,0.401237634,0.232197426,0.25059532,0.075845626,,,,
Colombia,COL,,,,,,,,,,,0.36119336,0.282154533,0.26293353,0.288909875,0.291666245,0.17559083,0.332433727,0.419734824,0.325918115,0.361483584,0.31735828,0.439700964,0.223259883,0.185903252,0.203904932,0.315236726,1.190527646,1.718293029,1.167993409,1.181080053,1.034610529,1.791540135,1.096390146,0.703871335,1.1852007,0.881138917,0.77504678,0.725222817,0.818665636,1.522346916,1.611951294,2.093801283,2.531509345,3.250183682,2.724349479,2.297506452,2.412569077,2.163233562,1.993026963,1.774914359,1.406617339,1.224478557,1.083430487,1.164523393,1.093046077,1.704227443,1.835748853,1.865686813,1.997341398,2.199958211,2.553594273
Comoros,COM,,,,,,,,,,,,,,,,,,,,,0.762763042,0.622258751,1.286673615,0.958641423,1.158554821,2.149783441,1.706537754,2.015023798,2.070972507,2.309676667,2.312558976,2.380414816,3.498092597,3.53951279,4.772402122,3.065021139,,,,,,,,5.859081438,7.685739236,8.267359293,9.04848692,9.306018277,11.06584643,11.09057499,9.609485759,10.57329122,10.84847341,0,13.9021543,13.65030671,11.52660334,12.2139852,14.64707023,14.46845216,13.23292437
Cabo Verde,CPV,,,,,,,,,,,,,,,,,,,,,28.16568034,22.6552783,18.38290065,14.83864149,15.61732575,15.07100499,14.45575722,15.4837423,16.17128098,17.83537854,19.27080429,19.50007971,21.28255772,15.59719642,21.01763655,21.7306947,19.99081624,15.57586788,14.12915596,13.45599868,16.64625843,14.37844852,13.69165074,13.32306566,12.27150963,14.06335605,12.32731384,9.167749572,8.66445351,7.922591413,7.865710956,9.479261812,10.1601047,9.506683782,10.5910007,12.58163087,12.71040272,12.23605867,11.92218892,12.17599556,14.42464201
Costa Rica,CRI,,,,,,,,,,,,,,,,,,0.065095118,0.082311332,0.066905888,0.084860703,0.091470143,0.214837499,0.168426673,0.17484063,0.183710771,0.174248199,0.174279366,0.197198921,0.190438982,0.210095517,0.186207414,0.165809515,0.166964659,0.163062375,1.064896111,1.119757206,1.031344437,0.936112277,0.887295017,0.905678752,1.242120979,1.511847502,1.857827608,1.717013103,2.097469732,2.259053862,2.29840794,1.963423849,1.66882417,1.409209523,1.216529083,1.190605712,1.170565354,1.141803897,0.977976175,0.926850348,0.925980262,0.855862182,0.86531405,0.853025087
Caribbean small states,CSS,,,,,,,,,,,,,,,,,1.690724587,1.313153276,1.227661858,1.401429777,1.159748343,1.137078187,0.987738047,0.80594272,0.987040808,1.656812666,1.976632793,2.127781368,2.284984536,2.688262666,2.660331012,2.006307721,2.240320078,2.678427992,4.346801544,4.481495051,4.495588683,4.402303866,4.410927519,4.515641736,4.609152524,5.194788268,5.914462871,6.131638735,6.362709965,6.000160049,5.587064365,5.638392359,4.804852505,5.310221632,5.192296968,5.170699555,5.214117873,4.94055037,5.12467111,5.45342105,5.772583292,5.811531688,5.62645494,5.749851126,7.362057675
